Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
Israel,2014.0,Synergistic logistical productivity,Manned,Moyerview,Weather,21.95,97.0,Reusable Rocket,Low,"UK, UAE, Japan",307.0,96.0,Medium,0.877
France,2010.0,Synergistic dynamic matrices,Unmanned,East Carrie,Spy,29.49,97.0,AI Navigation,Low,"Germany, China",118.0,10.0,High,0.381
UAE,2006.0,Reduced asynchronous installation,Unmanned,Port Lisa,Weather,23.79,86.0,AI Navigation,Medium,India,172.0,86.0,Low,0.59
France,2005.0,Seamless directional monitoring,Unmanned,Floreshaven,Weather,21.16,89.0,Reusable Rocket,High,Germany,268.0,17.0,High,0.871
Germany,2022.0,Cross-group directional neural-net,Unmanned,Thompsonton,Communication,25.22,64.0,Reusable Rocket,Low,India,144.0,68.0,High,0.215
USA,2021.0,Optional motivating flexibility,Manned,New Brookeshire,Communication,8.7,88.0,Traditional Rocket,Medium,"Russia, France",139.0,48.0,Low,0.486
Israel,2005.0,Inverse hybrid portal,Unmanned,Johnhaven,Weather,0.8,81.0,Reusable Rocket,Low,"India, UK",76.0,52.0,Low,0.961
France,2012.0,Programmable zero tolerance hub,Manned,Jillmouth,Weather,40.6,78.0,Traditional Rocket,Low,"China, France",149.0,25.0,Medium,0.474
Germany,2020.0,Focused fresh-thinking framework,Manned,Wrightshire,Weather,42.92,100.0,Reusable Rocket,Low,"Russia, UAE, China",218.0,21.0,Low,0.253
Russia,2002.0,Ergonomic web-enabled infrastructure,Unmanned,Simmonsfurt,Research,33.87,77.0,AI Navigation,Low,"USA, Israel",40.0,65.0,Medium,0.351
UK,2001.0,Ameliorated optimal hierarchy,Unmanned,Benjaminchester,Weather,14.49,76.0,Reusable Rocket,High,"Germany, UAE, Japan",195.0,63.0,High,0.885
France,2014.0,Profound asynchronous initiative,Unmanned,Lake Rayberg,Weather,6.22,77.0,Reusable Rocket,High,"France, India, USA",273.0,89.0,High,0.955
Russia,2015.0,Visionary multi-state encryption,Unmanned,Danielview,Spy,38.36,69.0,Nuclear Propulsion,Medium,"USA, China",79.0,51.0,Medium,0.95
Russia,2014.0,Re-engineered bottom-line algorithm,Manned,Mooreville,Navigation,40.73,76.0,AI Navigation,Medium,"Japan, Germany",257.0,36.0,Low,0.699
Russia,2023.0,Compatible needs-based collaboration,Unmanned,Justinmouth,Communication,20.13,54.0,AI Navigation,Low,"France, Russia, UK",41.0,81.0,Low,0.51
Japan,2018.0,Digitized multi-state initiative,Unmanned,Monicatown,Spy,13.62,51.0,Nuclear Propulsion,High,"UK, China, India",223.0,88.0,High,0.183
Russia,2010.0,Polarized impactful core,Unmanned,Josephhaven,,30.77,99.0,Reusable Rocket,Medium,Russia,148.0,66.0,Medium,0.123
UK,2024.0,Mandatory full-range initiative,Unmanned,Wileyview,Navigation,36.05,61.0,AI Navigation,Medium,"India, China",224.0,15.0,High,0.06
France,2007.0,Fully-configurable client-server structure,Manned,New Michaelberg,Spy,45.79,53.0,Reusable Rocket,Low,France,99.0,96.0,High,0.018
India,2010.0,Devolved coherent capability,Manned,,Navigation,37.71,61.0,Traditional Rocket,Medium,"Russia, UK, France",45.0,39.0,Low,0.878
Germany,2020.0,Persistent heuristic complexity,Manned,Aaronmouth,Research,14.77,52.0,Reusable Rocket,Low,Russia,245.0,70.0,Medium,0.809
France,2010.0,Quality-focused explicit data-warehouse,Unmanned,Port Patriciaborough,Research,49.87,92.0,Reusable Rocket,Low,"Japan, UAE",352.0,1.0,High,0.568
Germany,2021.0,Mandatory scalable matrices,Manned,Darrylborough,Navigation,27.73,80.0,AI Navigation,High,Israel,340.0,23.0,Low,0.999
China,2009.0,Networked leadingedge utilization,Manned,North Sarahfurt,Research,43.25,52.0,Traditional Rocket,Low,Russia,57.0,39.0,High,0.953
Japan,2005.0,Stand-alone tangible protocol,Unmanned,New Andrew,Communication,42.07,93.0,Traditional Rocket,High,Germany,182.0,57.0,High,0.655
Germany,2021.0,Persevering demand-driven approach,Unmanned,East Ryanmouth,Communication,30.58,96.0,Nuclear Propulsion,Medium,"Germany, China",323.0,81.0,Low,0.465
France,2014.0,Progressive client-server instruction set,Manned,Jamestown,Research,41.42,90.0,Solar Propulsion,Low,"Russia, Israel",45.0,34.0,Low,0.152
India,2006.0,Multi-channeled 5thgeneration policy,Manned,East Steven,Weather,6.59,99.0,Reusable Rocket,Medium,"USA, Israel, UAE",97.0,41.0,Medium,0.516
UK,2015.0,Self-enabling mobile interface,Manned,Hardingchester,Navigation,21.08,74.0,Reusable Rocket,High,Germany,88.0,93.0,High,0.158
UAE,2019.0,Balanced empowering info-mediaries,Unmanned,Lake Matthewtown,Spy,7.97,83.0,Traditional Rocket,Medium,France,89.0,73.0,Medium,0.398
Russia,2003.0,Down-sized empowering circuit,Manned,East Christopher,Communication,46.54,74.0,Reusable Rocket,Low,"India, Russia",191.0,13.0,Low,0.943
Germany,2019.0,Focused zero tolerance functionalities,Unmanned,North Eugeneborough,Research,39.19,74.0,Traditional Rocket,Medium,Japan,37.0,70.0,Low,0.342
UK,2007.0,Right-sized actuating task-force,Unmanned,Gonzalesfort,Communication,34.04,76.0,Traditional Rocket,Low,"China, Russia, Japan",42.0,6.0,High,0.153
China,2002.0,Customer-focused demand-driven moderator,Manned,Morsehaven,Research,42.51,59.0,Traditional Rocket,High,"Germany, Russia, USA",344.0,84.0,Medium,0.582
India,2007.0,Vision-oriented zero tolerance leverage,Unmanned,Royside,Communication,7.88,85.0,Solar Propulsion,Medium,China,249.0,52.0,Medium,0.602
China,2010.0,Advanced 5thgeneration intranet,Unmanned,Schneiderchester,Spy,33.56,81.0,Solar Propulsion,Low,"UAE, India, Russia",241.0,3.0,High,0.194
China,2016.0,Secured maximized product,Manned,Sydneytown,Weather,8.61,84.0,Traditional Rocket,Medium,USA,333.0,81.0,High,0.197
Russia,2006.0,Optional 3rdgeneration parallelism,Unmanned,Annaport,Research,11.45,71.0,Traditional Rocket,High,"USA, China, UAE",77.0,63.0,Medium,0.99
Germany,2025.0,Re-engineered demand-driven protocol,Unmanned,Lake Nicholas,Communication,27.23,62.0,Nuclear Propulsion,High,France,205.0,49.0,Low,0.243
UK,2003.0,Implemented actuating info-mediaries,Manned,Mossfort,Research,11.82,76.0,Solar Propulsion,High,Germany,148.0,76.0,Low,0.838
USA,2003.0,Devolved exuding array,Unmanned,South Bobby,Communication,16.78,66.0,Reusable Rocket,High,USA,164.0,47.0,High,0.47
China,2013.0,Focused systematic archive,Manned,Bradfordside,Spy,10.13,77.0,Nuclear Propulsion,Medium,Japan,145.0,55.0,Medium,0.435
UAE,2017.0,User-friendly 4thgeneration encryption,Manned,East Jane,Spy,16.81,53.0,AI Navigation,Low,Germany,256.0,64.0,Medium,0.295
Germany,2008.0,Managed bandwidth-monitored circuit,Manned,Sanfordstad,Spy,3.22,63.0,Nuclear Propulsion,Medium,USA,298.0,65.0,Medium,0.774
UK,2018.0,Switchable interactive middleware,Unmanned,West Mark,Navigation,20.17,88.0,Reusable Rocket,Low,Germany,362.0,81.0,Low,0.881
China,2020.0,Balanced executive monitoring,Manned,Port Caitlinmouth,Spy,35.61,73.0,Solar Propulsion,Medium,India,193.0,67.0,Low,0.261
India,2024.0,Multi-lateral bifurcated complexity,Unmanned,South Richard,Navigation,49.18,75.0,Traditional Rocket,High,"Japan, UAE, Russia",311.0,90.0,Medium,0.095
USA,2018.0,De-engineered empowering array,Manned,Woodfort,Research,36.26,69.0,Traditional Rocket,Medium,"UK, Israel",186.0,15.0,Medium,0.137
Israel,2024.0,Reactive 24/7 circuit,Manned,Whitebury,Navigation,22.17,63.0,Traditional Rocket,Medium,"France, USA, Russia",280.0,100.0,High,0.793
Israel,2008.0,Implemented secondary data-warehouse,Manned,South Vanessa,Navigation,5.8,52.0,AI Navigation,Medium,"Russia, Israel",336.0,32.0,High,0.436
India,2011.0,Future-proofed high-level throughput,Manned,Stephenston,Navigation,21.67,94.0,AI Navigation,Medium,"Russia, USA, China",311.0,96.0,Medium,0.132
UK,2024.0,Distributed scalable attitude,Unmanned,Port Matthewborough,Weather,48.74,50.0,Nuclear Propulsion,Low,"USA, India",322.0,68.0,Medium,0.34
UK,2024.0,Adaptive local structure,Unmanned,Richardshaven,Research,17.98,78.0,Solar Propulsion,High,"Israel, Russia, USA",176.0,18.0,Low,0.514
UK,2024.0,Balanced impactful workforce,Unmanned,West Shawn,Research,38.55,89.0,Nuclear Propulsion,Medium,UK,236.0,83.0,Medium,0.852
France,2000.0,Grass-roots stable task-force,Manned,Thomasview,Communication,5.32,67.0,Reusable Rocket,Medium,"Israel, India",308.0,43.0,High,0.642
India,2005.0,Future-proofed fault-tolerant orchestration,Manned,Carrieland,Research,11.67,78.0,Nuclear Propulsion,High,Japan,180.0,35.0,Low,0.176
China,2011.0,De-engineered next generation access,Manned,Marilynside,Spy,16.63,56.0,Nuclear Propulsion,Medium,China,31.0,78.0,High,0.159
China,2004.0,Switchable zero administration productivity,Unmanned,Douglasmouth,Research,18.46,60.0,Traditional Rocket,Medium,Russia,234.0,58.0,High,0.412
India,2009.0,Re-contextualized asymmetric solution,Manned,East Adriennebury,Spy,2.37,56.0,AI Navigation,High,"Japan, France, Russia",161.0,33.0,Low,0.075
Germany,2022.0,Synergized clear-thinking encoding,Unmanned,Lake Kyle,Research,24.27,85.0,AI Navigation,Low,"UK, Germany, UAE",139.0,14.0,High,0.756
UK,2016.0,Fundamental system-worthy core,Unmanned,Anthonymouth,Weather,19.43,81.0,Nuclear Propulsion,Medium,"USA, Israel, India",153.0,34.0,Medium,0.401
China,2003.0,Advanced maximized implementation,Unmanned,Williamsside,Navigation,17.39,79.0,Traditional Rocket,High,UK,123.0,61.0,High,0.343
Israel,2013.0,Multi-channeled homogeneous customer loyalty,Unmanned,Glendastad,Navigation,21.35,68.0,Nuclear Propulsion,High,"UAE, India, Israel",347.0,4.0,Low,0.509
Russia,2018.0,Profound optimizing paradigm,Unmanned,Michelebury,Spy,32.94,74.0,Reusable Rocket,Medium,UAE,317.0,88.0,Low,0.709
China,2008.0,Realigned web-enabled algorithm,Manned,West Tammyville,Navigation,15.13,72.0,AI Navigation,Low,France,254.0,59.0,Low,0.569
UAE,2015.0,Distributed reciprocal superstructure,Manned,South Raymondville,Research,41.3,57.0,AI Navigation,Low,Israel,239.0,29.0,High,0.802
Russia,2006.0,Monitored web-enabled attitude,Unmanned,Port Stephenbury,Spy,12.71,77.0,Reusable Rocket,Medium,India,353.0,83.0,Medium,0.629
UK,2016.0,Reactive dynamic moderator,Manned,Wardside,Communication,22.72,61.0,AI Navigation,Low,"India, Israel",136.0,6.0,Low,0.788
Germany,2021.0,Phased object-oriented focus group,Unmanned,New Jessica,Research,49.14,94.0,Reusable Rocket,Low,"UAE, Japan",257.0,97.0,Medium,0.697
France,2017.0,Programmable analyzing approach,Manned,New Justin,Spy,9.7,70.0,AI Navigation,Medium,"Japan, Russia",224.0,49.0,Low,0.193
Russia,2025.0,Multi-lateral intermediate database,Manned,Perezbury,Research,9.3,85.0,Reusable Rocket,High,USA,38.0,40.0,Medium,0.052
Japan,2022.0,User-centric zero tolerance collaboration,Unmanned,North Walter,Research,14.89,78.0,Solar Propulsion,Low,"Japan, China",310.0,83.0,Medium,0.903
France,2018.0,Centralized responsive installation,Unmanned,Boonemouth,Navigation,13.63,79.0,AI Navigation,Low,"France, China",206.0,65.0,Medium,0.946
India,2019.0,Assimilated tertiary adapter,Unmanned,Port Carlos,Research,43.23,76.0,Traditional Rocket,High,"Japan, China",252.0,69.0,Low,0.727
Russia,2004.0,Face-to-face neutral artificial intelligence,Manned,East Stevenville,Communication,,60.0,Solar Propulsion,Low,"Japan, India",8.0,27.0,High,
Russia,2021.0,De-engineered 24/7 analyzer,Unmanned,Dianamouth,Spy,35.09,52.0,Traditional Rocket,High,USA,64.0,80.0,High,0.27
Israel,2009.0,Organized foreground pricing structure,Manned,Warrenstad,Research,30.86,66.0,Traditional Rocket,Medium,"Russia, China, Germany",140.0,6.0,High,0.542
India,2024.0,Intuitive discrete pricing structure,Manned,Kimville,Research,14.57,50.0,AI Navigation,Low,"India, UAE, Germany",104.0,13.0,Medium,0.992
UAE,2022.0,Ergonomic dedicated leverage,Unmanned,South Danielburgh,Weather,34.02,53.0,AI Navigation,High,"France, China, Israel",75.0,64.0,Low,
UAE,2014.0,Configurable system-worthy leverage,Unmanned,Luistown,Spy,2.24,99.0,Solar Propulsion,Low,UAE,224.0,62.0,Medium,0.304
China,2018.0,Right-sized transitional knowledgebase,Manned,North Justinstad,Navigation,46.25,82.0,Solar Propulsion,High,"India, Japan",125.0,99.0,Low,0.301
China,2020.0,Business-focused stable time-frame,Manned,Riceshire,Spy,28.4,60.0,Reusable Rocket,Medium,"France, India",259.0,19.0,Medium,0.484
France,2009.0,Robust attitude-oriented hierarchy,Unmanned,South Sandrahaven,Research,42.7,86.0,Traditional Rocket,Low,Russia,318.0,76.0,Low,0.405
Russia,2009.0,Assimilated logistical product,Unmanned,Grantside,Research,30.07,92.0,Reusable Rocket,High,France,254.0,80.0,Low,0.371
Japan,2017.0,Team-oriented cohesive orchestration,Unmanned,Port Derekshire,Research,9.79,74.0,Traditional Rocket,Medium,"India, UK",94.0,43.0,Low,0.627
Israel,2017.0,User-centric explicit utilization,Unmanned,West Samanthaburgh,Weather,30.65,95.0,Solar Propulsion,High,"France, Israel",40.0,74.0,Medium,0.011
Japan,2006.0,Diverse incremental task-force,Manned,Jeffreytown,Weather,36.35,61.0,Traditional Rocket,High,"France, Israel, USA",53.0,89.0,High,0.763
China,2005.0,Team-oriented eco-centric policy,Unmanned,New Peterside,Weather,43.36,73.0,Solar Propulsion,Medium,"Israel, France",25.0,20.0,Medium,0.74
USA,2014.0,Public-key heuristic extranet,Manned,New Kyle,Weather,49.69,63.0,Traditional Rocket,High,"France, Germany, China",242.0,95.0,Medium,0.83
UAE,2009.0,Decentralized bottom-line neural-net,Manned,Matthewfort,Communication,1.9,76.0,Solar Propulsion,High,"Russia, UK",289.0,68.0,Low,0.841
China,2012.0,Cross-platform human-resource moratorium,Manned,Port Omarmouth,Communication,11.05,65.0,AI Navigation,Medium,"Russia, China",339.0,44.0,Low,0.566
Russia,2018.0,Profound optimizing paradigm,Unmanned,Michelebury,Spy,32.94,74.0,Reusable Rocket,Medium,UAE,317.0,23.0,High,0.78
UK,2014.0,Synchronized optimal website,Manned,Kirbyside,Research,49.48,84.0,Reusable Rocket,Low,"UK, France, USA",1.0,2.0,High,0.492
UAE,2012.0,Enterprise-wide zero administration data-warehouse,Manned,West Maryshire,Spy,4.82,50.0,Nuclear Propulsion,Medium,"Germany, Japan, France",52.0,22.0,Low,0.952
China,2000.0,Configurable homogeneous product,Unmanned,Gilberthaven,Navigation,26.49,78.0,Solar Propulsion,Low,USA,179.0,57.0,High,0.191
Israel,2024.0,Cross-platform global contingency,Unmanned,Cummingshaven,Communication,35.81,95.0,Traditional Rocket,Low,"Japan, UK",9.0,72.0,High,0.916
Russia,2003.0,Persevering 3rdgeneration firmware,Manned,New Anthonyfurt,Communication,38.27,55.0,Solar Propulsion,High,"UK, UAE, Russia",292.0,7.0,Low,0.259
China,2015.0,Upgradable directional firmware,Unmanned,Victoriatown,Weather,24.79,84.0,AI Navigation,High,,132.0,78.0,Medium,0.103
Germany,2005.0,Streamlined solution-oriented Internet solution,Manned,Lake Todd,Weather,29.2,79.0,AI Navigation,High,UK,309.0,56.0,High,0.439
France,2013.0,Up-sized zero administration open architecture,Manned,New Edwardfurt,Spy,46.73,74.0,AI Navigation,High,"USA, China, Germany",349.0,67.0,Low,0.615
Japan,2016.0,Proactive well-modulated ability,Unmanned,East Margaret,Research,40.93,87.0,Solar Propulsion,High,"France, UAE, Japan",234.0,16.0,High,0.231
USA,2004.0,Fully-configurable zero-defect firmware,Unmanned,East Nathanview,Communication,17.37,88.0,Solar Propulsion,Low,Russia,82.0,83.0,High,0.556
USA,2006.0,Persevering neutral website,Unmanned,Ianburgh,Weather,5.93,58.0,AI Navigation,Low,"Russia, UK, Japan",111.0,51.0,Low,0.808
France,2016.0,Pre-emptive exuding interface,Unmanned,Kendramouth,Navigation,39.6,60.0,Traditional Rocket,Medium,France,65.0,82.0,High,0.257
UK,2020.0,Centralized incremental function,Unmanned,Rodriguezland,Spy,27.17,56.0,AI Navigation,Low,"India, France",232.0,80.0,High,0.58
China,2023.0,Reactive contextually-based policy,Manned,Lake Jeffreyfurt,Communication,24.96,74.0,Nuclear Propulsion,High,India,21.0,72.0,High,0.339
Japan,2015.0,Pre-emptive national definition,Manned,Watkinsside,Communication,46.56,98.0,Traditional Rocket,Medium,"China, Japan, UK",144.0,97.0,Medium,0.53
,2011.0,Focused multi-tasking pricing structure,Unmanned,Reyeston,Communication,29.45,95.0,Solar Propulsion,Medium,"UAE, France",185.0,12.0,Medium,0.667
Israel,2000.0,Inverse 24hour array,Unmanned,North Gabrielleton,Spy,27.59,86.0,Traditional Rocket,High,"China, UAE, UK",115.0,53.0,High,0.35
UK,2017.0,Multi-lateral content-based Graphical User Interface,Unmanned,Port Georgetown,Weather,5.81,95.0,Reusable Rocket,Medium,Israel,158.0,75.0,Low,0.994
Russia,2003.0,Pre-emptive modular infrastructure,Unmanned,South Brittneymouth,Research,17.05,54.0,Nuclear Propulsion,High,Russia,39.0,5.0,High,0.564
Israel,2013.0,Ergonomic homogeneous initiative,Manned,Thomasshire,Research,28.52,54.0,Solar Propulsion,Medium,India,343.0,27.0,High,0.824
Germany,2023.0,Seamless homogeneous methodology,Unmanned,Smithchester,Research,23.87,84.0,Traditional Rocket,Medium,"Japan, Germany, Israel",213.0,12.0,Medium,0.725
Japan,2016.0,Programmable exuding standardization,Unmanned,Caitlinstad,Weather,6.69,55.0,AI Navigation,Medium,Israel,137.0,17.0,Medium,0.853
Japan,2019.0,Multi-channeled radical archive,Unmanned,Jacobchester,Weather,40.11,93.0,AI Navigation,Medium,"UAE, USA",112.0,6.0,Medium,0.174
India,2007.0,Right-sized zero-defect emulation,Manned,Benjaminhaven,Research,8.35,86.0,AI Navigation,High,"Israel, China",142.0,97.0,High,0.223
Germany,2021.0,Assimilated holistic neural-net,Manned,South Jacobland,Research,23.98,60.0,Reusable Rocket,High,"Russia, India",266.0,5.0,High,0.487
Germany,2022.0,Synergized clear-thinking encoding,Unmanned,Lake Kyle,Research,24.27,85.0,AI Navigation,Low,"UK, Germany, UAE",139.0,57.0,Low,0.852
Germany,2019.0,Organic tertiary access,Manned,Lamville,Spy,47.41,75.0,Traditional Rocket,Low,USA,32.0,28.0,High,0.198
,2011.0,Managed interactive emulation,Unmanned,Port Andrewville,Research,8.7,98.0,AI Navigation,High,Israel,306.0,78.0,High,0.971
Russia,2003.0,Versatile bottom-line initiative,Unmanned,West Michael,Research,33.18,72.0,Solar Propulsion,High,UAE,176.0,69.0,Medium,0.128
Germany,2016.0,Pre-emptive neutral infrastructure,Manned,Bonillatown,Navigation,27.93,96.0,Nuclear Propulsion,Medium,India,365.0,59.0,Medium,0.175
Israel,2005.0,Secured 24hour circuit,Unmanned,Aaronmouth,Spy,12.25,98.0,Solar Propulsion,Low,"China, UK, India",221.0,33.0,Medium,0.167
Germany,2014.0,Ameliorated 3rdgeneration time-frame,Unmanned,Fisherview,Spy,13.91,97.0,Traditional Rocket,High,"Germany, UAE, USA",128.0,62.0,Medium,0.586
Israel,2022.0,Persistent bottom-line ability,Unmanned,New Jason,Research,19.81,81.0,AI Navigation,Medium,"USA, China, India",253.0,50.0,Medium,0.918
France,2009.0,Team-oriented logistical encoding,Manned,New Debra,Research,32.86,77.0,AI Navigation,Medium,"UAE, France",107.0,19.0,Low,0.255
China,2010.0,Streamlined next generation benchmark,Manned,Mirandashire,Navigation,1.68,54.0,Reusable Rocket,High,"Germany, Russia",180.0,86.0,Low,0.553
Japan,2020.0,Future-proofed even-keeled analyzer,Unmanned,Lewistown,Navigation,46.43,91.0,Reusable Rocket,Medium,"China, UAE",156.0,69.0,Low,0.176
China,2009.0,Optional multi-state Local Area Network,Unmanned,Thompsonborough,Spy,13.33,83.0,Solar Propulsion,Low,France,10.0,66.0,Medium,0.631
USA,2009.0,Configurable coherent ability,Unmanned,Lake Juanfurt,Communication,42.52,75.0,Traditional Rocket,High,"UAE, France",75.0,94.0,Medium,0.123
Russia,2003.0,Pre-emptive modular infrastructure,Unmanned,South Brittneymouth,Research,17.05,54.0,Nuclear Propulsion,High,Russia,39.0,47.0,Medium,0.491
UAE,2014.0,Grass-roots radical functionalities,Manned,New Devontown,Research,14.63,53.0,Solar Propulsion,Low,"Japan, France, UAE",202.0,39.0,Low,0.655
